url,word_count,sentence_count,flesch_reading_ease,top_keywords,embedding
https://www.cm-alliance.com/cybersecurity-blog,325,5,-6.967853773584892,cyber|cybersecurity|training|events|clients,"[0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.]"
https://www.varonis.com/blog/cybersecurity-tips,1700,92,41.465,data|access|security|app|mfa,"[0.        ,0.02022851,0.        ,0.        ,0.        ,0.        ,
 0.        ,0.        ,0.        ,0.01594587,0.        ,0.        ,
 0.        ,0.        ,0.        ,0.        ,0.        ,0.        ,
 0.        ,0.        ]"
https://www.cisecurity.org/insights/blog/11-cyber-defense-tips-to-stay-secure-at-work-and-home,1058,62,53.26291793973047,password|don|authentication|cyber|use,"[0.        ,0.        ,0.        ,0.        ,0.        ,0.        ,
 0.        ,0.        ,0.        ,0.02138744,0.        ,0.        ,
 0.        ,0.        ,0.        ,0.09303813,0.        ,0.        ,
 0.        ,0.        ]"
https://www.cisa.gov/topics/cybersecurity-best-practices,826,27,-2.538002436053546,cisa|cybersecurity|cyber|practices|organizations,"[0.        ,0.        ,0.        ,0.        ,0.        ,0.        ,
 0.02149617,0.        ,0.01943878,0.        ,0.        ,0.        ,
 0.        ,0.        ,0.        ,0.        ,0.        ,0.        ,
 0.02776274,0.        ]"
https://www.qnbtrust.bank/Resources/Learning-Center/Blog/7-cyber-security-tips,0,1,100.0,content,"[0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.]"
https://nordlayer.com/learn/network-security/basics/,2188,181,25.769415150604516,network|security|monitoring|access|devices,"[0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.]"
https://www.fortinet.com/resources/cyberglossary/what-is-network-security,4970,223,12.261918219867795,security|network|cloud|access|islands,"[0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.]"
https://www.cisco.com/site/us/en/learn/topics/security/what-is-network-security.html,938,56,28.39025319829426,cisco|security|network|access|secure,"[0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.]"
https://www.trendmicro.com/en_us/what-is/network-security/network-security-basics.html,1993,89,28.664086417361005,security|network|data|cloud|encryption,"[0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.]"
https://digitdefence.com/blog/fundamentals-of-network-security-in-computer-networks,18830,395,5.337012847397688,sony|network|security|data|access,"[0.        ,0.        ,0.        ,0.        ,0.        ,0.        ,
 0.        ,0.        ,0.        ,0.00136892,0.        ,0.        ,
 0.        ,0.        ,0.        ,0.        ,0.        ,0.        ,
 0.00075768,0.00081659]"
